url_path,views_total,views_unique
/KajaBraz/AdventOfCode2024,45,15
/KajaBraz/AdventOfCode2024/blob/main/day14/solution.py,9,4
/KajaBraz/AdventOfCode2024/blob/main/day24/solution.py,6,4
/KajaBraz/AdventOfCode2024/tree/main,6,4
/KajaBraz/AdventOfCode2024/tree/main/day14,6,4
/KajaBraz/AdventOfCode2024/tree/main/day16,6,4
/KajaBraz/AdventOfCode2024/blob/main/day17/solution.py,6,2
/KajaBraz/AdventOfCode2024/blob/main/day16/solution.py,5,4
/KajaBraz/AdventOfCode2024/blob/main/day20/solution.py,5,4
/KajaBraz/AdventOfCode2024/tree/main/day24,5,4
